size,omega0
188,23.202
189,23.305
190,23.605
191,23.683
192,23.983
193,24.016
194,24.371
195,24.66
196,24.626
197,24.882
198,25.023
199,25.339
200,25.435
201,25.785
202,25.795
203,26.128
204,26.297
205,26.438
206,26.734
207,26.889
208,27.203
209,27.385
210,27.698
211,27.709
212,27.93
213,28.154
214,28.341
215,28.504
216,28.952
217,29.176
218,29.225
219,29.385
220,29.712
221,29.894
222,30.044
223,30.427
224,30.525
225,30.77
226,31.051
227,31.221
228,31.36
229,31.425
230,31.801
231,32.052
232,32.37
233,32.406
234,32.649
235,32.868
236,33.088
237,33.261
238,33.534
239,33.75
240,33.814
241,34.053
242,34.506
243,34.487
244,34.837
245,34.943
246,35.218
247,35.653
248,35.763
249,35.786
250,36.181
251,36.368
252,36.663
253,36.89
254,37.159
255,37.408
256,37.496
257,37.695
258,38.226
259,38.15
260,38.471
261,38.63
262,38.946
263,39.2
264,39.191
265,39.428
266,39.918
267,40.037
268,40.3
269,40.588
270,40.739
271,41.034
272,41.099
273,41.542
274,41.652
275,41.745
276,42.022
277,42.493
278,42.624
279,42.934
280,42.96
281,43.11
282,43.524
283,43.815
284,43.916
285,44.213
286,44.565
287,44.504
288,44.951
289,44.974
290,45.513
291,45.774
292,45.855
293,45.931
294,46.425
295,46.435
296,46.975
297,46.775
298,47.366
299,47.579
300,48.014
301,48.052
302,48.267
303,48.478
304,48.668
305,49.016
306,49.251
307,49.301
308,49.602
309,49.866
310,50.254
311,50.451
312,50.658
313,50.937
314,51.09
315,51.165
316,51.742
317,51.839
318,52.268
319,52.083
320,52.635
321,52.995
322,53.026
323,53.243
324,53.758
325,54.006
326,54.175
327,54.334
328,54.633
329,54.855
330,55.196
331,55.236
332,55.397
333,55.906
334,56.013
335,56.523
336,56.524
337,56.735
338,57.207
339,57.396
340,57.617
341,57.716
342,57.874
343,58.398
344,58.49
345,58.914
346,59.189
347,59.301
348,59.586
349,59.895
350,60.231
351,60.297
352,60.621
353,60.898
354,61.06
355,61.494
356,61.397
357,61.817
358,62.22
359,62.512
360,62.659
361,62.801
362,63.1
363,63.256
364,63.636
365,64.115
366,64.329
367,64.581
368,64.74
369,64.989
370,65.213
371,65.754
372,65.8
373,66.039
374,66.202
375,66.655
376,66.901
377,67.113
378,67.232
379,67.502
380,67.872
381,68.167
382,68.639
383,68.573
384,69.08
385,69.184
386,69.512
387,69.581
388,70.091
389,70.279
390,70.206
391,70.851
392,70.998
393,71.31
394,71.613
395,71.74
396,72.036
397,72.38
398,72.696
399,73.047
400,73.093
401,73.387
402,73.628
403,73.913
404,74.094
405,74.418
406,74.556
407,75.103
408,75.488
409,75.447
410,75.73
411,76.023
412,76.159
413,76.826
414,76.929
415,76.925
416,77.473
417,77.686
418,77.937
419,78.424
420,78.773
421,78.616
422,79.152
423,79.297
424,79.672
425,79.975
426,80.117
427,80.4
428,80.816
429,80.952
430,81.285
431,81.549
432,81.762
433,82.04
434,82.548
435,82.588
436,83.022
437,83.347
438,83.393
439,83.712
440,84.058
441,84.311
442,84.726
443,84.616
444,84.997
445,85.566
446,85.858
447,86.056
448,85.973
449,86.613
450,86.955
451,86.951
452,87.305
453,87.557
454,87.929
455,88.347
456,88.275
457,88.759
458,89.075
459,89.351
460,89.837
461,89.902
462,90.273
463,90.536
464,90.705
465,91.223
466,91.136
467,91.769
468,91.67
469,92.063
470,92.39
471,92.963
472,92.958
473,93.308
474,93.563
475,93.801
476,94.434
477,94.322
478,94.604
479,94.824
480,95.373
481,95.538
482,95.699
483,95.901
484,96.171
485,96.644
486,96.972
487,97.451
488,97.59
489,97.962
490,98.096
491,98.608
492,98.768
493,98.993
494,99.277
495,99.65
496,99.845
497,99.889
498,100.235
499,100.863
500,100.7761338
501,100.9872591
502,101.2767344
503,101.5663757
504,101.8561829
505,102.1461559
506,102.4362943
507,102.7265982
508,103.0170673
509,103.3077015
510,103.5985007
511,103.8894645
512,104.180593
513,104.471886
514,104.7633432
515,105.0549646
516,105.3467499
517,105.6386991
518,105.9308119
519,106.2230883
520,106.5155279
521,106.8081308
522,107.1008967
523,107.3938255
524,107.6869169
525,107.980171
526,108.2735874
527,108.5671661
528,108.8609068
529,109.1548095
530,109.4488739
531,109.7431
532,110.0374875
533,110.3320363
534,110.6267462
535,110.9216171
536,111.2166489
537,111.5118413
538,111.8071942
539,112.1027074
540,112.3983808
541,112.6942143
542,112.9902076
543,113.2863607
544,113.5826733
545,113.8791453
546,114.1757765
547,114.4725669
548,114.7695161
549,115.0666241
550,115.3638908
551,115.6613159
552,115.9588992
553,116.2566408
554,116.5545402
555,116.8525976
556,117.1508125
557,117.449185
558,117.7477149
559,118.0464019
560,118.3452459
561,118.6442468
562,118.9434045
563,119.2427187
564,119.5421893
565,119.8418161
566,120.1415991
567,120.4415379
568,120.7416325
569,121.0418828
570,121.3422884
571,121.6428494
572,121.9435655
573,122.2444366
574,122.5454626
575,122.8466432
576,123.1479782
577,123.4494677
578,123.7511113
579,124.052909
580,124.3548605
581,124.6569658
582,124.9592246
583,125.2616368
584,125.5642022
585,125.8669208
586,126.1697923
587,126.4728165
588,126.7759934
589,127.0793227
590,127.3828043
591,127.686438
592,127.9902237
593,128.2941613
594,128.5982505
595,128.9024912
596,129.2068833
597,129.5114265
598,129.8161208
599,130.120966
600,130.4259619
601,130.7311083
602,131.0364052
603,131.3418523
604,131.6474495
605,131.9531966
606,132.2590935
607,132.56514
608,132.8713359
609,133.1776812
610,133.4841755
611,133.7908189
612,134.0976111
613,134.404552
614,134.7116413
615,135.0188791
616,135.326265
617,135.6337989
618,135.9414807
619,136.2493103
620,136.5572874
621,136.8654119
622,137.1736836
623,137.4821025
624,137.7906683
625,138.0993808
626,138.40824
627,138.7172456
628,139.0263975
629,139.3356955
630,139.6451396
631,139.9547294
632,140.264465
633,140.574346
634,140.8843724
635,141.194544
636,141.5048606
637,141.8153221
638,142.1259283
639,142.4366791
640,142.7475743
641,143.0586137
642,143.3697972
643,143.6811247
644,143.9925959
645,144.3042108
646,144.6159691
647,144.9278707
648,145.2399154
649,145.5521031
650,145.8644337
651,146.1769069
652,146.4895226
653,146.8022807
654,147.115181
655,147.4282233
656,147.7414075
657,148.0547334
658,148.3682009
659,148.6818098
660,148.9955599
661,149.3094511
662,149.6234833
663,149.9376562
664,150.2519697
665,150.5664238
666,150.8810181
667,151.1957525
668,151.5106269
669,151.8256412
670,152.1407951
671,152.4560886
672,152.7715214
673,153.0870934
674,153.4028044
675,153.7186543
676,154.0346429
677,154.3507701
678,154.6670357
679,154.9834396
680,155.2999815
681,155.6166614
682,155.9334791
683,156.2504343
684,156.5675271
685,156.8847571
686,157.2021243
687,157.5196284
688,157.8372694
689,158.1550471
690,158.4729613
691,158.7910118
692,159.1091985
693,159.4275213
694,159.7459799
695,160.0645743
696,160.3833042
697,160.7021696
698,161.0211702
699,161.3403059
700,161.6595765
701,161.9789819
702,162.2985219
703,162.6181964
704,162.9380052
705,163.2579481
706,163.578025
707,163.8982357
708,164.2185802
709,164.5390581
710,164.8596694
711,165.1804138
712,165.5012914
713,165.8223018
714,166.1434449
715,166.4647206
716,166.7861287
717,167.1076691
718,167.4293415
719,167.7511459
720,168.0730821
721,168.3951499
722,168.7173491
723,169.0396796
724,169.3621413
725,169.684734
726,170.0074575
727,170.3303117
728,170.6532964
729,170.9764115
730,171.2996568
731,171.6230321
732,171.9465372
733,172.2701721
734,172.5939366
735,172.9178305
736,173.2418537
737,173.5660059
738,173.8902871
739,174.214697
740,174.5392356
741,174.8639026
742,175.188698
743,175.5136214
744,175.8386729
745,176.1638522
746,176.4891592
747,176.8145937
748,177.1401556
749,177.4658446
750,177.7916607
751,178.1176037
752,178.4436734
753,178.7698697
754,179.0961924
755,179.4226413
756,179.7492164
757,180.0759174
758,180.4027441
759,180.7296965
760,181.0567743
761,181.3839775
762,181.7113058
763,182.0387591
764,182.3663372
765,182.69404
766,183.0218673
767,183.349819
768,183.6778949
769,184.0060948
770,184.3344186
771,184.6628661
772,184.9914372
773,185.3201317
774,185.6489495
775,185.9778904
776,186.3069542
777,186.6361408
778,186.96545
779,187.2948816
780,187.6244356
781,187.9541118
782,188.2839099
783,188.6138298
784,188.9438715
785,189.2740346
786,189.6043191
787,189.9347249
788,190.2652516
789,190.5958993
790,190.9266676
791,191.2575566
792,191.5885659
793,191.9196956
794,192.2509453
795,192.5823149
796,192.9138044
797,193.2454134
798,193.577142
799,193.9089898
800,194.2409568
801,194.5730428
802,194.9052476
803,195.2375711
804,195.5700131
805,195.9025734
806,196.235252
807,196.5680486
808,196.9009631
809,197.2339954
810,197.5671452
811,197.9004124
812,198.2337969
813,198.5672985
814,198.900917
815,199.2346523
816,199.5685042
817,199.9024726
818,200.2365574
819,200.5707582
820,200.9050751
821,201.2395078
822,201.5740561
823,201.90872
824,202.2434993
825,202.5783937
826,202.9134032
827,203.2485276
828,203.5837667
829,203.9191204
830,204.2545886
831,204.5901709
832,204.9258674
833,205.2616778
834,205.597602
835,205.9336398
836,206.2697911
837,206.6060557
838,206.9424335
839,207.2789242
840,207.6155278
841,207.9522441
842,208.2890729
843,208.626014
844,208.9630674
845,209.3002328
846,209.6375101
847,209.9748991
848,210.3123997
849,210.6500117
850,210.987735
851,211.3255694
852,211.6635147
853,212.0015708
854,212.3397376
855,212.6780148
856,213.0164023
857,213.3549
858,213.6935076
859,214.0322251
860,214.3710523
861,214.709989
862,215.0490351
863,215.3881904
864,215.7274547
865,216.0668279
866,216.4063099
867,216.7459004
868,217.0855994
869,217.4254066
870,217.7653219
871,218.1053452
872,218.4454762
873,218.7857149
874,219.126061
875,219.4665145
876,219.8070751
877,220.1477427
878,220.4885171
879,220.8293982
880,221.1703859
881,221.5114799
882,221.8526801
883,222.1939864
884,222.5353986
885,222.8769165
886,223.21854
887,223.5602689
888,223.902103
889,224.2440423
890,224.5860865
891,224.9282355
892,225.2704891
893,225.6128472
894,225.9553096
895,226.2978762
896,226.6405468
897,226.9833212
898,227.3261993
899,227.6691809
900,228.0122658
901,228.355454
902,228.6987453
903,229.0421394
904,229.3856363
905,229.7292357
906,230.0729376
907,230.4167417
908,230.760648
909,231.1046561
910,231.4487661
911,231.7929777
912,232.1372908
913,232.4817052
914,232.8262207
915,233.1708373
916,233.5155547
917,233.8603727
918,234.2052913
919,234.5503103
920,234.8954295
921,235.2406487
922,235.5859678
923,235.9313867
924,236.2769051
925,236.622523
926,236.9682401
927,237.3140563
928,237.6599715
929,238.0059855
930,238.3520981
931,238.6983091
932,239.0446185
933,239.3910261
934,239.7375316
935,240.084135
936,240.4308361
937,240.7776347
938,241.1245306
939,241.4715238
940,241.8186141
941,242.1658012
942,242.5130851
943,242.8604655
944,243.2079424
945,243.5555155
946,243.9031848
947,244.2509499
948,244.5988109
949,244.9467675
950,245.2948196
951,245.642967
952,245.9912096
953,246.3395472
954,246.6879796
955,247.0365067
956,247.3851283
957,247.7338443
958,248.0826545
959,248.4315588
960,248.7805569
961,249.1296488
962,249.4788343
963,249.8281132
964,250.1774854
965,250.5269507
966,250.8765089
967,251.2261599
968,251.5759036
969,251.9257397
970,252.2756681
971,252.6256888
972,252.9758014
973,253.3260058
974,253.676302
975,254.0266896
976,254.3771687
977,254.7277389
978,255.0784003
979,255.4291525
980,255.7799954
981,256.1309289
982,256.4819529
983,256.8330671
984,257.1842715
985,257.5355657
986,257.8869498
987,258.2384235
988,258.5899867
989,258.9416392
990,259.2933809
991,259.6452116
992,259.9971311
993,260.3491393
994,260.701236
995,261.0534212
996,261.4056945
997,261.7580559
998,262.1105051
999,262.4630422
1000,262.8156668
1001,263.1683788
1002,263.1710822
1003,263.5232803
1004,263.8755688
1005,264.2279479
1006,264.5804172
1007,264.9329768
1008,265.2856266
1009,265.6383664
1010,265.9911962
1011,266.3441158
1012,266.6971252
1013,267.0502243
1014,267.403413
1015,267.7566912
1016,268.1100587
1017,268.4635156
1018,268.8170616
1019,269.1706968
1020,269.524421
1021,269.8782341
1022,270.2321361
1023,270.5861268
1024,270.9402061
1025,271.2943739
1026,271.6486303
1027,272.0029749
1028,272.3574079
1029,272.711929
1030,273.0665382
1031,273.4212353
1032,273.7760204
1033,274.1308932
1034,274.4858537
1035,274.8409019
1036,275.1960375
1037,275.5512605
1038,275.9065709
1039,276.2619685
1040,276.6174532
1041,276.973025
1042,277.3286837
1043,277.6844292
1044,278.0402615
1045,278.3961805
1046,278.752186
1047,279.108278
1048,279.4644564
1049,279.820721
1050,280.1770718
1051,280.5335088
1052,280.8900317
1053,281.2466405
1054,281.6033351
1055,281.9601155
1056,282.3169814
1057,282.6739329
1058,283.0309698
1059,283.3880921
1060,283.7452996
1061,284.1025922
1062,284.4599699
1063,284.8174326
1064,285.1749801
1065,285.5326124
1066,285.8903294
1067,286.2481309
1068,286.6060169
1069,286.9639874
1070,287.3220421
1071,287.680181
1072,288.038404
1073,288.3967111
1074,288.7551021
1075,289.1135769
1076,289.4721354
1077,289.8307776
1078,290.1895033
1079,290.5483124
1080,290.907205
1081,291.2661807
1082,291.6252397
1083,291.9843817
1084,292.3436067
1085,292.7029145
1086,293.0623052
1087,293.4217785
1088,293.7813345
1089,294.140973
1090,294.5006938
1091,294.860497
1092,295.2203824
1093,295.5803499
1094,295.9403995
1095,296.300531
1096,296.6607443
1097,297.0210394
1098,297.3814162
1099,297.7418745
1100,298.1024143
1101,298.4630354
1102,298.8237378
1103,299.1845214
1104,299.5453861
1105,299.9063318
1106,300.2673584
1107,300.6284658
1108,300.9896539
1109,301.3509227
1110,301.7122719
1111,302.0737016
1112,302.4352116
1113,302.7968019
1114,303.1584723
1115,303.5202227
1116,303.8820531
1117,304.2439634
1118,304.6059534
1119,304.9680231
1120,305.3301724
1121,305.6924012
1122,306.0547093
1123,306.4170968
1124,306.7795634
1125,307.1421092
1126,307.504734
1127,307.8674376
1128,308.2302202
1129,308.5930814
1130,308.9560213
1131,309.3190397
1132,309.6821366
1133,310.0453118
1134,310.4085653
1135,310.7718969
1136,311.1353066
1137,311.4987943
1138,311.8623598
1139,312.2260032
1140,312.5897242
1141,312.9535229
1142,313.317399
1143,313.6813525
1144,314.0453834
1145,314.4094915
1146,314.7736767
1147,315.1379389
1148,315.5022781
1149,315.8666941
1150,316.2311868
1151,316.5957562
1152,316.9604022
1153,317.3251246
1154,317.6899234
1155,318.0547985
1156,318.4197497
1157,318.7847771
1158,319.1498804
1159,319.5150596
1160,319.8803147
1161,320.2456454
1162,320.6110518
1163,320.9765336
1164,321.3420909
1165,321.7077236
1166,322.0734315
1167,322.4392145
1168,322.8050725
1169,323.1710055
1170,323.5370134
1171,323.903096
1172,324.2692534
1173,324.6354852
1174,325.0017916
1175,325.3681724
1176,325.7346274
1177,326.1011566
1178,326.46776
1179,326.8344374
1180,327.2011886
1181,327.5680137
1182,327.9349125
1183,328.301885
1184,328.668931
1185,329.0360504
1186,329.4032432
1187,329.7705092
1188,330.1378484
1189,330.5052607
1190,330.8727459
1191,331.2403041
1192,331.607935
1193,331.9756385
1194,332.3434147
1195,332.7112634
1196,333.0791845
1197,333.4471779
1198,333.8152435
1199,334.1833812
1200,334.551591
1201,334.9198727
1202,335.2882262
1203,335.6566515
1204,336.0251484
1205,336.3937169
1206,336.7623568
1207,337.1310681
1208,337.4998507
1209,337.8687045
1210,338.2376293
1211,338.6066252
1212,338.9756919
1213,339.3448294
1214,339.7140377
1215,340.0833165
1216,340.4526659
1217,340.8220857
1218,341.1915758
1219,341.5611361
1220,341.9307666
1221,342.3004672
1222,342.6702376
1223,343.040078
1224,343.4099881
1225,343.7799679
1226,344.1500172
1227,344.520136
1228,344.8903243
1229,345.2605818
1230,345.6309085
1231,346.0013043
1232,346.3717691
1233,346.7423028
1234,347.1129053
1235,347.4835766
1236,347.8543165
1237,348.2251249
1238,348.5960018
1239,348.966947
1240,349.3379605
1241,349.7090421
1242,350.0801918
1243,350.4514094
1244,350.822695
1245,351.1940483
1246,351.5654693
1247,351.9369579
1248,352.3085139
1249,352.6801374
1250,353.0518282
1251,353.4235862
1252,353.7954114
1253,354.1673035
1254,354.5392626
1255,354.9112885
1256,355.2833812
1257,355.6555405
1258,356.0277664
1259,356.4000587
1260,356.7724174
1261,357.1448423
1262,357.5173335
1263,357.8898907
1264,358.2625139
1265,358.635203
1266,359.0079579
1267,359.3807785
1268,359.7536647
1269,360.1266164
1270,360.4996335
1271,360.872716
1272,361.2458637
1273,361.6190765
1274,361.9923544
1275,362.3656972
1276,362.7391049
1277,363.1125773
1278,363.4861144
1279,363.8597161
1280,364.2333823
1281,364.6071128
1282,364.9809076
1283,365.3547666
1284,365.7286898
1285,366.1026769
1286,366.4767279
1287,366.8508428
1288,367.2250213
1289,367.5992635
1290,367.9735692
1291,368.3479384
1292,368.7223709
1293,369.0968667
1294,369.4714256
1295,369.8460476
1296,370.2207325
1297,370.5954803
1298,370.9702909
1299,371.3451642
1300,371.7201
1301,372.0950984
1302,372.4701592
1303,372.8452822
1304,373.2204675
1305,373.5957149
1306,373.9710243
1307,374.3463956
1308,374.7218288
1309,375.0973237
1310,375.4728803
1311,375.8484984
1312,376.224178
1313,376.5999189
1314,376.9757211
1315,377.3515844
1316,377.7275089
1317,378.1034943
1318,378.4795406
1319,378.8556478
1320,379.2318156
1321,379.608044
1322,379.9843329
1323,380.3606823
1324,380.737092
1325,381.1135619
1326,381.4900919
1327,381.866682
1328,382.243332
1329,382.6200419
1330,382.9968115
1331,383.3736408
1332,383.7505297
1333,384.127478
1334,384.5044858
1335,384.8815528
1336,385.258679
1337,385.6358643
1338,386.0131086
1339,386.3904118
1340,386.7677738
1341,387.1451945
1342,387.5226739
1343,387.9002118
1344,388.2778081
1345,388.6554628
1346,389.0331757
1347,389.4109467
1348,389.7887759
1349,390.1666629
1350,390.5446079
1351,390.9226106
1352,391.3006711
1353,391.6787891
1354,392.0569645
1355,392.4351974
1356,392.8134876
1357,393.191835
1358,393.5702395
1359,393.9487011
1360,394.3272195
1361,394.7057948
1362,395.0844269
1363,395.4631155
1364,395.8418607
1365,396.2206624
1366,396.5995205
1367,396.9784347
1368,397.3574052
1369,397.7364318
1370,398.1155143
1371,398.4946527
1372,398.8738469
1373,399.2530968
1374,399.6324023
1375,400.0117633
1376,400.3911798
1377,400.7706515
1378,401.1501785
1379,401.5297606
1380,401.9093977
1381,402.2890898
1382,402.6688368
1383,403.0486385
1384,403.4284948
1385,403.8084058
1386,404.1883712
1387,404.5683909
1388,404.948465
1389,405.3285932
1390,405.7087756
1391,406.0890119
1392,406.4693021
1393,406.8496462
1394,407.2300439
1395,407.6104953
1396,407.9910003
1397,408.3715586
1398,408.7521703
1399,409.1328352
1400,409.5135533
1401,409.8943244
1402,410.2751485
1403,410.6560255
1404,411.0369553
1405,411.4179377
1406,411.7989727
1407,412.1800602
1408,412.5612
1409,412.9423922
1410,413.3236366
1411,413.7049331
1412,414.0862816
1413,414.4676821
1414,414.8491344
1415,415.2306384
1416,415.612194
1417,415.9938012
1418,416.3754599
1419,416.7571698
1420,417.1389311
1421,417.5207435
1422,417.902607
1423,418.2845215
1424,418.6664869
1425,419.048503
1426,419.4305699
1427,419.8126874
1428,420.1948553
1429,420.5770737
1430,420.9593424
1431,421.3416613
1432,421.7240303
1433,422.1064494
1434,422.4889184
1435,422.8714373
1436,423.2540059
1437,423.6366242
1438,424.0192921
1439,424.4020094
1440,424.7847761
1441,425.167592
1442,425.5504572
1443,425.9333714
1444,426.3163346
1445,426.6993468
1446,427.0824077
1447,427.4655174
1448,427.8486757
1449,428.2318825
1450,428.6151377
1451,428.9984413
1452,429.3817931
1453,429.7651931
1454,430.1486411
1455,430.5321371
1456,430.9156809
1457,431.2992725
1458,431.6829118
1459,432.0665987
1460,432.450333
1461,432.8341148
1462,433.2179438
1463,433.6018201
1464,433.9857434
1465,434.3697138
1466,434.7537311
1467,435.1377952
1468,435.521906
1469,435.9060635
1470,436.2902676
1471,436.674518
1472,437.0588149
1473,437.4431579
1474,437.8275472
1475,438.2119825
1476,438.5964638
1477,438.980991
1478,439.365564
1479,439.7501827
1480,440.1348469
1481,440.5195567
1482,440.9043119
1483,441.2891124
1484,441.6739581
1485,442.0588489
1486,442.4437848
1487,442.8287656
1488,443.2137913
1489,443.5988617
1490,443.9839768
1491,444.3691364
1492,444.7543405
1493,445.1395889
1494,445.5248817
1495,445.9102186
1496,446.2955996
1497,446.6810246
1498,447.0664935
1499,447.4520062
1500,447.8375626
1501,448.2231627
1502,448.6088062
1503,448.6276548
1504,449.010177
1505,449.3927822
1506,449.7754701
1507,450.1582407
1508,450.5410937
1509,450.9240291
1510,451.3070467
1511,451.6901464
1512,452.073328
1513,452.4565914
1514,452.8399365
1515,453.223363
1516,453.6068709
1517,453.9904601
1518,454.3741303
1519,454.7578815
1520,455.1417135
1521,455.5256261
1522,455.9096193
1523,456.2936929
1524,456.6778467
1525,457.0620806
1526,457.4463945
1527,457.8307882
1528,458.2152616
1529,458.5998145
1530,458.9844468
1531,459.3691584
1532,459.7539491
1533,460.1388188
1534,460.5237673
1535,460.9087945
1536,461.2939003
1537,461.6790845
1538,462.064347
1539,462.4496876
1540,462.8351062
1541,463.2206027
1542,463.6061768
1543,463.9918286
1544,464.3775578
1545,464.7633643
1546,465.1492479
1547,465.5352086
1548,465.9212461
1549,466.3073604
1550,466.6935512
1551,467.0798185
1552,467.4661622
1553,467.8525819
1554,468.2390778
1555,468.6256495
1556,469.0122969
1557,469.39902
1558,469.7858185
1559,470.1726924
1560,470.5596415
1561,470.9466656
1562,471.3337646
1563,471.7209384
1564,472.1081868
1565,472.4955096
1566,472.8829069
1567,473.2703783
1568,473.6579238
1569,474.0455432
1570,474.4332364
1571,474.8210033
1572,475.2088436
1573,475.5967574
1574,475.9847443
1575,476.3728043
1576,476.7609373
1577,477.149143
1578,477.5374215
1579,477.9257724
1580,478.3141957
1581,478.7026913
1582,479.0912589
1583,479.4798985
1584,479.86861
1585,480.2573931
1586,480.6462477
1587,481.0351738
1588,481.424171
1589,481.8132395
1590,482.2023788
1591,482.591589
1592,482.98087
1593,483.3702214
1594,483.7596433
1595,484.1491354
1596,484.5386977
1597,484.92833
1598,485.3180321
1599,485.7078039
1600,486.0976453
1601,486.4875562
1602,486.8775363
1603,487.2675856
1604,487.6577038
1605,488.047891
1606,488.4381469
1607,488.8284713
1608,489.2188642
1609,489.6093254
1610,489.9998548
1611,490.3904522
1612,490.7811175
1613,491.1718505
1614,491.5626511
1615,491.9535192
1616,492.3444547
1617,492.7354573
1618,493.1265269
1619,493.5176634
1620,493.9088668
1621,494.3001367
1622,494.6914731
1623,495.0828758
1624,495.4743448
1625,495.8658798
1626,496.2574807
1627,496.6491474
1628,497.0408797
1629,497.4326776
1630,497.8245407
1631,498.2164692
1632,498.6084626
1633,499.000521
1634,499.3926443
1635,499.7848321
1636,500.1770845
1637,500.5694012
1638,500.9617822
1639,501.3542273
1640,501.7467363
1641,502.1393092
1642,502.5319457
1643,502.9246457
1644,503.3174092
1645,503.7102358
1646,504.1031256
1647,504.4960784
1648,504.889094
1649,505.2821722
1650,505.6753131
1651,506.0685163
1652,506.4617818
1653,506.8551094
1654,507.248499
1655,507.6419505
1656,508.0354636
1657,508.4290384
1658,508.8226745
1659,509.2163719
1660,509.6101305
1661,510.0039501
1662,510.3978305
1663,510.7917717
1664,511.1857734
1665,511.5798356
1666,511.9739581
1667,512.3681407
1668,512.7623834
1669,513.1566859
1670,513.5510482
1671,513.94547
1672,514.3399514
1673,514.734492
1674,515.1290918
1675,515.5237507
1676,515.9184685
1677,516.313245
1678,516.7080801
1679,517.1029737
1680,517.4979256
1681,517.8929358
1682,518.288004
1683,518.68313
1684,519.0783139
1685,519.4735554
1686,519.8688544
1687,520.2642107
1688,520.6596243
1689,521.0550949
1690,521.4506225
1691,521.8462068
1692,522.2418478
1693,522.6375453
1694,523.0332991
1695,523.4291092
1696,523.8249754
1697,524.2208975
1698,524.6168755
1699,525.012909
1700,525.4089982
1701,525.8051427
1702,526.2013424
1703,526.5975973
1704,526.9939071
1705,527.3902717
1706,527.786691
1707,528.1831649
1708,528.5796931
1709,528.9762757
1710,529.3729123
1711,529.7696029
1712,530.1663474
1713,530.5631456
1714,530.9599973
1715,531.3569024
1716,531.7538608
1717,532.1508724
1718,532.5479369
1719,532.9450543
1720,533.3422245
1721,533.7394472
1722,534.1367223
1723,534.5340497
1724,534.9314293
1725,535.3288609
1726,535.7263444
1727,536.1238796
1728,536.5214664
1729,536.9191046
1730,537.3167942
1731,537.7145349
1732,538.1123266
1733,538.5101693
1734,538.9080627
1735,539.3060067
1736,539.7040012
1737,540.102046
1738,540.500141
1739,540.898286
1740,541.2964809
1741,541.6947257
1742,542.09302
1743,542.4913638
1744,542.889757
1745,543.2881994
1746,543.6866908
1747,544.0852312
1748,544.4838203
1749,544.8824581
1750,545.2811444
1751,545.679879
1752,546.0786619
1753,546.4774929
1754,546.8763717
1755,547.2752984
1756,547.6742728
1757,548.0732947
1758,548.4723639
1759,548.8714804
1760,549.270644
1761,549.6698545
1762,550.0691119
1763,550.4684159
1764,550.8677665
1765,551.2671635
1766,551.6666067
1767,552.0660961
1768,552.4656314
1769,552.8652125
1770,553.2648394
1771,553.6645118
1772,554.0642296
1773,554.4639927
1774,554.8638009
1775,555.2636541
1776,555.6635521
1777,556.0634949
1778,556.4634822
1779,556.863514
1780,557.26359
1781,557.6637102
1782,558.0638744
1783,558.4640825
1784,558.8643343
1785,559.2646297
1786,559.6649686
1787,560.0653507
1788,560.465776
1789,560.8662443
1790,561.2667556
